O1,O2,O3,O4,O5,O6,O7,H_exact,G_exact,K_exact,H_L_exact,H_R_exact,H_ctrap,G_ctrap,K_ctrap,H_mid,G_mid,K_mid,model,param,layer,type,n
-0.1867723073810339,-0.08187121339142323,-0.03325330698862672,4.837888263864443e-05,0.033360769506543875,0.08210064470767975,0.18698794580996037,0.1346429005676691,3.710988893064194e-05,0.7345696822736935,0.09890605973833076,0.0989031256424716,0.12414740910753608,0.000124256667734578,0.7007589473413713,0.08198592904955149,0.0008091239101471162,0.9365819850324181,GPT2-Small,transformer.h.0.attn.c_attn.weight,0,attn_input,1769472
-0.07048834767192602,-0.02455331850796938,-0.010058154934085906,1.3942024907009909e-05,0.010097600985318422,0.024617795832455158,0.07079296465963125,0.07300903708268201,-0.0024013612829309012,0.8525068282665675,0.06243068949679567,0.06205071577951123,0.048246122009004466,0.002051196644462549,0.7681610913657151,0.02458555717021227,0.0007442026718860618,1.2316739007943658,GPT2-Small,transformer.h.0.attn.c_proj.weight,0,attn_output,589824
-0.15042240731418133,-0.07952108420431614,-0.034849526826292276,-0.0005294469883665442,0.03422738192602992,0.07815448194742203,0.1484556905925274,0.1051669031877882,-0.002083198945028973,0.6562853341222546,0.06933902732326623,0.06869996507113452,0.09856423595920205,-0.0010117823636335676,0.6248266666181623,0.07883778307586908,-0.0019515279866818545,0.7287152815206596,GPT2-Small,transformer.h.0.mlp.c_fc.weight,0,ffn_input,2359296
-0.09039894491434097,-0.051525114104151726,-0.023693974129855633,-5.738386562370579e-06,0.02363716810941696,0.05151612218469381,0.09050564467906952,0.06414202084143517,0.00021432797791137102,0.6203056824094253,0.039756387691312525,0.03981893232701952,0.05982809036504477,0.000446220502320254,0.5869341651198239,0.05152061814442277,2.411513833028131e-05,0.6481553025028949,GPT2-Small,transformer.h.0.mlp.c_proj.weight,0,ffn_output,2359296
-0.13859985955059528,-0.07189526408910751,-0.03152611618861556,-8.507071106578223e-05,0.03136046743020415,0.07187127321958542,0.13860828056931496,0.10081968063793549,0.0011223867524414787,0.673425509418064,0.06780464812870797,0.0679844414572285,0.0915938870748505,0.0003505476957830917,0.6321538025702733,0.07188326865434647,0.0010165825465745057,0.7453805333048508,GPT2-Small,transformer.h.1.attn.c_attn.weight,1,attn_input,1769472
-0.0936564402654767,-0.05279315635561943,-0.023967765271663666,-0.00019670779147418216,0.023951224982738495,0.052769992500543594,0.09333335515111685,0.06751071043423824,0.00168786655862714,0.634488089568102,0.04286169894304819,0.04280778443456212,0.061700007412582636,0.0012178155588994778,0.5919750705656011,0.05278157442808151,0.00350739563838723,0.6587090602596785,GPT2-Small,transformer.h.1.attn.c_proj.weight,1,attn_output,589824
-0.14156833849847317,-0.07908838242292404,-0.03568103117868304,0.0006553533021360636,0.036532027181237936,0.07996978983283043,0.14294492825865746,0.09996378456836713,-0.00013327546886038785,0.6268873798774609,0.06252161769657379,0.06281045228482347,0.09400782885495573,-0.000429331195891561,0.5964640755560888,0.07952908612787724,-0.0026990074654916606,0.6673665533382519,GPT2-Small,transformer.h.1.mlp.c_fc.weight,1,ffn_input,2359296
-0.09143371600657701,-0.051672604866325855,-0.023068354232236743,6.519935777760111e-05,0.02327129733748734,0.05175889376550913,0.09134992212057114,0.06410802303614699,0.0005107143828258085,0.6269657639980958,0.04017974686882278,0.040207324413708063,0.06006335897836834,-0.0007007704209784339,0.5918668113410209,0.05171574931591749,-0.00042646405548988557,0.6595862399862213,GPT2-Small,transformer.h.1.mlp.c_proj.weight,1,ffn_output,2359296
-0.15328417345881462,-0.08211196027696133,-0.036157471127808094,0.00011155518586747348,0.0363998394459486,0.08242261968553066,0.15350419655442238,0.11127916023757674,-0.0002641928206024575,0.6599963394162468,0.07346663242669936,0.07342104439352985,0.10112098522949964,-0.0001564784779172849,0.617229301604361,0.082267289981246,0.0005321011355445586,0.7117988798855432,GPT2-Small,transformer.h.2.attn.c_attn.weight,2,attn_input,1769472
-0.08625013381242752,-0.04979707486927509,-0.023110777139663696,1.2540552233986091e-05,0.023058305261656642,0.049533335492014885,0.0858374023810029,0.061074651887985804,-0.000745567189822291,0.6130803595879967,0.03745644448931846,0.03743089459307766,0.05701362938270904,-0.0021232984159490283,0.5797746581844967,0.04966520518064499,-0.002907674303143083,0.6338363716313696,GPT2-Small,transformer.h.2.attn.c_proj.weight,2,attn_output,589824
