O1,O2,O3,O4,O5,O6,O7,H_exact,H_L_exact,H_R_exact,G_exact,K_exact,model,param,layer,type,shape,n
-0.033050537109375,-0.0180816650390625,-0.00806427001953125,1.430511474609375e-05,0.00807952880859375,0.018096923828125,0.03302001953125,0.023508002606174867,0.015157053394163619,0.015108235439344383,-0.001149911158272859,0.643723104436746,OPT-125M,model.decoder.layers.5.fc2.weight,5,ffn_output,"(768, 3072)",2359296
-0.0655517578125,-0.03692626953125,-0.0169830322265625,-0.00015991926193237305,0.016693115234375,0.036529541015625,0.065185546875,0.04607065171815824,0.0287267222556693,0.02879620205526913,0.0011352861033694427,0.6242903254640351,OPT-125M,model.decoder.layers.6.self_attn.k_proj.weight,6,attn_input,"(768, 768)",589824
-0.0230712890625,-0.0131072998046875,-0.00600433349609375,-2.4497509002685547e-05,0.005939483642578125,0.013031005859375,0.02301025390625,0.016129367912779143,0.009979782528615842,0.009986807523293666,-0.00010204491259121218,0.6189514108637255,OPT-125M,model.decoder.layers.6.self_attn.v_proj.weight,6,attn_input,"(768, 768)",589824
-0.0670166015625,-0.038116455078125,-0.0175628662109375,-0.00016254186630249023,0.0173187255859375,0.037872314453125,0.06707763671875,0.04714443423684619,0.029081578734298494,0.029345701229734306,0.0034486990725589245,0.619662542459449,OPT-125M,model.decoder.layers.6.self_attn.q_proj.weight,6,attn_input,"(768, 768)",589824
-0.0200653076171875,-0.01141357421875,-0.00524139404296875,3.0100345611572266e-06,0.005207061767578125,0.01139068603515625,0.02008056640625,0.014069629345916232,0.008685307830091915,0.008706092883383261,-0.00042537449449877077,0.6180475791468913,OPT-125M,model.decoder.layers.6.self_attn.out_proj.weight,6,attn_output,"(768, 768)",589824
-0.034942626953125,-0.021697998046875,-0.0122528076171875,-0.00406646728515625,0.004047393798828125,0.01318359375,0.0257720947265625,0.021282593223784514,0.01324768755137352,0.012653158879175914,-0.016393985987355468,0.6084983666746907,OPT-125M,model.decoder.layers.6.fc1.weight,6,ffn_input,"(3072, 768)",2359296
-0.03179931640625,-0.0174407958984375,-0.00783538818359375,1.1324882507324219e-05,0.0078582763671875,0.017425537109375,0.031768798828125,0.022743105612436112,0.014652886106754156,0.01460470058465218,-0.001249102224045903,0.6432188107900281,OPT-125M,model.decoder.layers.6.fc2.weight,6,ffn_output,"(768, 3072)",2359296
-0.06573486328125,-0.037261962890625,-0.0172271728515625,-5.474686622619629e-05,0.017059326171875,0.03717041015625,0.06561279296875,0.04633373053739989,0.028675458353771117,0.028770159854401654,0.0006768215352784435,0.6199114289081853,OPT-125M,model.decoder.layers.7.self_attn.k_proj.weight,7,attn_input,"(768, 768)",589824
-0.0225982666015625,-0.0128326416015625,-0.005847930908203125,6.553530693054199e-05,0.005970001220703125,0.012908935546875,0.022552490234375,0.015743938067822053,0.009726646631154127,0.009628669859820447,-0.0033877461387115254,0.6146910768956075,OPT-125M,model.decoder.layers.7.self_attn.v_proj.weight,7,attn_input,"(768, 768)",589824
-0.0655517578125,-0.0374755859375,-0.0175933837890625,-0.0002924203872680664,0.0170440673828125,0.037078857421875,0.065185546875,0.046183422135780146,0.028372598198378302,0.02851677513394356,0.0024367675552928545,0.6159068633444487,OPT-125M,model.decoder.layers.7.self_attn.q_proj.weight,7,attn_input,"(768, 768)",589824
-0.0196075439453125,-0.01116943359375,-0.005130767822265625,-5.960464477539062e-07,0.005126953125,0.01117706298828125,0.0196685791015625,0.013712745241314729,0.00843270676058536,0.008454472704114677,0.0009572027501534819,0.61574758254172,OPT-125M,model.decoder.layers.7.self_attn.out_proj.weight,7,attn_output,"(768, 768)",589824
-0.034912109375,-0.021759033203125,-0.0123291015625,-0.004123687744140625,0.00403594970703125,0.01323699951171875,0.0258636474609375,0.02129981046755347,0.01317407656881391,0.012691617015459908,-0.013085695127328082,0.6071813085772682,OPT-125M,model.decoder.layers.7.fc1.weight,7,ffn_input,"(3072, 768)",2359296
