model,param,layer,type,shape,n,O1,O2,O3,O4,O5,O6,O7,H_ct,G_ct,K_ct,H_mp,G_mp,K_mp
OPT-125M,model.decoder.layers.1.self_attn.k_proj.weight,1,attn_input,"(768, 768)",589824,-0.071044921875,-0.036346435546875,-0.01543426513671875,0.0001653432846069336,0.0157623291015625,0.0364990234375,0.0711669921875,0.04681682586669922,-0.0007409708500539814,0.6389154834898454,0.0364227294921875,-0.002444883745286971,0.7619920402178467
OPT-125M,model.decoder.layers.1.self_attn.v_proj.weight,1,attn_input,"(768, 768)",589824,-0.017120361328125,-0.0094757080078125,-0.00423431396484375,6.496906280517578e-06,0.00424957275390625,0.00948333740234375,0.017181396484375,0.011304855346679688,0.0017873713514425511,0.6027501265395647,0.009479522705078125,-0.0002829476861167002,0.6808853118712274
OPT-125M,model.decoder.layers.1.self_attn.q_proj.weight,1,attn_input,"(768, 768)",589824,-0.057891845703125,-0.02569580078125,-0.0101318359375,-6.008148193359375e-05,0.00998687744140625,0.025421142578125,0.05731201171875,0.03796672821044922,-0.0037678028685539174,0.699228856346236,0.0255584716796875,-0.0030223880597014924,0.9300746268656717
OPT-125M,model.decoder.layers.1.self_attn.out_proj.weight,1,attn_output,"(768, 768)",589824,-0.013824462890625,-0.00742340087890625,-0.00335693359375,-1.5228986740112305e-05,0.0033206939697265625,0.007396697998046875,0.0138092041015625,0.009161710739135742,0.0002830041377156687,0.6155827933484269,0.0074100494384765625,0.0002533783783783784,0.707014157014157
OPT-125M,model.decoder.layers.1.fc1.weight,1,ffn_input,"(3072, 768)",2359296,-0.0367431640625,-0.0222015380859375,-0.0120086669921875,-0.0035037994384765625,0.004909515380859375,0.01493072509765625,0.0292205810546875,0.021797657012939453,-0.007415833570319165,0.5930260538577647,0.018566131591796875,-0.007088555578385042,0.6604170947195398
OPT-125M,model.decoder.layers.1.fc2.weight,1,ffn_output,"(768, 3072)",2359296,-0.033111572265625,-0.0180511474609375,-0.00792694091796875,-2.104043960571289e-05,0.00787353515625,0.01806640625,0.033172607421875,0.021752357482910156,0.0009234293480643606,0.6108553641106581,0.01805877685546875,0.0015875844951415293,0.698880439374736
OPT-125M,model.decoder.layers.2.self_attn.k_proj.weight,2,attn_input,"(768, 768)",589824,-0.06695556640625,-0.034698486328125,-0.014048576354980469,8.803606033325195e-05,0.01433563232421875,0.03460693359375,0.0667724609375,0.04346573352813721,-0.0006020015523137978,0.637433251877998,0.0346527099609375,-0.0038615285116688682,0.7599969726992515
OPT-125M,model.decoder.layers.2.self_attn.v_proj.weight,2,attn_input,"(768, 768)",589824,-0.019622802734375,-0.01102447509765625,-0.004955291748046875,3.892183303833008e-05,0.00508880615234375,0.01111602783203125,0.0196990966796875,0.012977123260498047,0.0012998346500091862,0.5932390225978321,0.01107025146484375,0.0006191850447966919,0.6611819434872501
OPT-125M,model.decoder.layers.2.self_attn.q_proj.weight,2,attn_input,"(768, 768)",589824,-0.06512451171875,-0.033721923828125,-0.01311492919921875,-4.941225051879883e-05,0.013519287109375,0.03424072265625,0.0653076171875,0.041909217834472656,0.0033408237569689386,0.6384116509272955,0.0339813232421875,0.009087688033228559,0.7636394252357431
OPT-125M,model.decoder.layers.2.self_attn.out_proj.weight,2,attn_output,"(768, 768)",589824,-0.01546478271484375,-0.00872802734375,-0.0040283203125,-1.1026859283447266e-06,0.004032135009765625,0.00875091552734375,0.01549530029296875,0.01026296615600586,0.0008043720670910189,0.5907633694187613,0.008739471435546875,0.00143564491488433,0.6550632911392406
